ASM_ACCESSION,NCBI_TAXID,SPECIES_IN,STRAIN,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES
GCF_010015735.1_Aaoar1,1450172,Aaosphaeria arxii CBS 175.79,CBS 175.79,Ascomycota,,Dothideomycetes,,Pleosporales,,Aaosphaeria,Aaosphaeria arxii
GCA_022813625.1_ASM2281362v1,3025424,Aaosphaeria pasadenensis,FJI-L9-BK-P1,Ascomycota,,Dothideomycetes,,Pleosporales,,Aaosphaeria,Aaosphaeria pasadenensis
GCA_022606235.1_Abobie1,137743,Abortiporus biennis,CIRM-BRFM 1778,Basidiomycota,,Agaricomycetes,,Polyporales,Podoscyphaceae,Abortiporus,Abortiporus biennis
GCA_900079185.1_AG_v1,4829,Absidia glauca,CBS 101.48 substr. RVII-324 met-,Mucoromycota,,Mucoromycetes,,Mucorales,Cunninghamellaceae,Absidia,Absidia glauca
GCA_019677225.1_ASM1967722v1,2733465,Absidia healeyae,UoMAU1,Mucoromycota,,Mucoromycetes,,Mucorales,Cunninghamellaceae,Absidia,Absidia healeyae
GCA_002105175.1_Absrep1,90262,Absidia repens,NRRL 1336,Mucoromycota,,Mucoromycetes,,Mucorales,Cunninghamellaceae,Absidia,Absidia repens
GCA_019677255.1_ASM1967725v1,2735258,Absidia sp. UoMAU379,UoMAU379,Mucoromycota,,Mucoromycetes,,Mucorales,Cunninghamellaceae,Absidia,Absidia sp. UoMAU379
GCF_003144295.1_Acain1,215250,Acaromyces ingoldii,MCA 4198,Basidiomycota,,Exobasidiomycetes,,Exobasidiales,Cryptobasidiaceae,Acaromyces,Acaromyces ingoldii
GCA_022814355.1_ASM2281435v1,2871812,Acarospora aff. strigata,T1882,Ascomycota,,Lecanoromycetes,,Acarosporales,Acarosporaceae,Acarospora,Acarospora aff. strigata
GCA_025617375.2_glAcaSoci1.1,1307805,Acarospora socialis,JNA_AS_CCGP158,Ascomycota,,Lecanoromycetes,,Acarosporales,Acarosporaceae,Acarospora,Acarospora socialis
GCA_004114255.1_ASM411425v1,1172177,Acaulopage tetraceros,T-All,Zoopagomycota,,Zoopagomycetes,,Zoopagales,Zoopagaceae,Acaulopage,Acaulopage tetraceros
GCA_910592055.1_Acaulospora_colombiana_CL356,27376,Acaulospora colombiana,CL356,Mucoromycota,,Glomeromycetes,,Diversisporales,Acaulosporaceae,Acaulospora,Acaulospora colombiana
GCA_910591835.1_Acaulospora_morrowiae_CL551,94023,Acaulospora morrowiae,CL551,Mucoromycota,,Glomeromycetes,,Diversisporales,Acaulosporaceae,Acaulospora,Acaulospora morrowiae
GCA_014904845.1_Acema1,886606,Acephala macrosclerotiorum,EW76-UTF0540,Ascomycota,,Leotiomycetes,,Helotiales,Mollisiaceae,Acephala,Acephala macrosclerotiorum
GCA_031001845.1_ASM3100184v1,1934374,Achaetomiella virescens,148.68,Ascomycota,,Sordariomycetes,,Sordariales,Chaetomiaceae,Achaetomiella,Achaetomiella virescens
